size,weight
100.0,207.0
253.0,584.0
62.0,186.0
193.0,443.0
256.0,611.0
255.0,558.0
389.0,500.0
379.0,792.0
299.0,625.0
139.0,291.0
370.0,752.0
175.0,400.0
90.0,268.0
315.0,666.0
35.0,106.0
65.0,187.0
339.0,715.0
392.0,864.0
91.0,184.0
106.0,239.0
191.0,472.0
3.0,67.0
283.0,656.0
115.0,313.0
216.0,531.0
87.0,258.0
15.0,78.0
251.0,537.0
33.0,96.0
36.0,122.0
237.0,568.0
273.0,581.0
202.0,481.0
215.0,441.0
384.0,815.0
152.0,381.0
318.0,736.0
343.0,766.0
61.0,220.0
249.0,502.0
383.0,779.0
112.0,244.0
72.0,217.0
233.0,560.0
130.0,270.0
286.0,629.0
248.0,521.0
309.0,636.0
45.0,160.0
105.0,259.0
144.0,355.0
322.0,687.0
258.0,579.0
118.0,308.0
373.0,762.0
6.0,72.0
27.0,56.0
349.0,702.0
292.0,669.0
122.0,338.0
333.0,737.0
279.0,579.0
98.0,274.0
276.0,593.0
83.0,220.0
107.0,285.0
342.0,762.0
317.0,636.0
312.0,636.0
360.0,780.0
301.0,606.0
340.0,765.0
154.0,338.0
50.0,156.0
59.0,127.0
278.0,642.0
95.0,213.0
24.0,102.0
274.0,595.0
192.0,454.0
171.0,422.0
328.0,674.0
93.0,273.0
307.0,637.0
68.0,151.0
362.0,791.0
167.0,434.0
132.0,290.0
54.0,115.0
252.0,585.0
172.0,362.0
345.0,691.0
313.0,689.0
109.0,225.0
184.0,461.0
325.0,710.0
146.0,299.0
23.0,144.0
163.0,418.0
366.0,756.0
277.0,576.0
134.0,320.0
57.0,142.0
324.0,718.0
64.0,152.0
225.0,539.0
247.0,538.0
102.0,304.0
262.0,597.0
205.0,466.0
182.0,401.0
70.0,161.0
16.0,66.0
140.0,356.0
196.0,427.0
254.0,600.0
127.0,282.0
217.0,473.0
390.0,788.0
195.0,455.0
314.0,666.0
156.0,370.0
21.0,57.0
200.0,451.0
302.0,210.0
257.0,587.0
241.0,507.0
104.0,282.0
153.0,399.0
295.0,637.0
266.0,596.0
385.0,843.0
60.0,180.0
206.0,421.0
321.0,712.0
53.0,122.0
37.0,154.0
260.0,522.0
85.0,189.0
269.0,562.0
198.0,461.0
263.0,534.0
47.0,121.0
305.0,639.0
126.0,343.0
97.0,253.0
398.0,860.0
103.0,282.0
367.0,813.0
326.0,729.0
178.0,408.0
361.0,796.0
336.0,736.0
358.0,811.0
39.0,124.0
267.0,557.0
77.0,233.0
399.0,821.0
382.0,832.0
228.0,553.0
393.0,798.0
177.0,376.0
159.0,327.0
270.0,547.0
223.0,499.0
75.0,170.0
123.0,304.0
303.0,672.0
14.0,46.0
356.0,720.0
387.0,826.0
203.0,768.0
81.0,236.0
394.0,824.0
32.0,92.0
160.0,402.0
78.0,176.0
341.0,776.0
41.0,172.0
310.0,696.0
131.0,350.0
89.0,211.0
374.0,790.0
250.0,579.0
220.0,474.0
124.0,300.0
137.0,329.0
346.0,707.0
113.0,265.0
371.0,765.0
29.0,132.0
348.0,709.0
275.0,566.0
149.0,340.0
186.0,407.0
332.0,709.0
8.0,39.0
372.0,832.0
368.0,750.0
246.0,503.0
289.0,632.0
155.0,337.0
2.0,39.0
290.0,646.0
136.0,317.0
169.0,373.0
335.0,673.0
304.0,618.0
357.0,790.0
80.0,185.0
84.0,500.0
151.0,321.0
174.0,364.0
210.0,445.0
230.0,513.0
201.0,453.0
43.0,120.0
240.0,567.0
38.0,167.0
82.0,180.0
44.0,92.0
166.0,430.0
199.0,447.0
42.0,177.0
281.0,586.0
331.0,753.0
308.0,673.0
236.0,542.0
66.0,191.0
288.0,622.0
185.0,459.0
26.0,118.0
1.0,13.0
229.0,486.0
25.0,101.0
111.0,295.0
264.0,611.0
207.0,478.0
180.0,424.0
214.0,520.0
221.0,447.0
386.0,814.0
244.0,557.0
133.0,277.0
188.0,420.0
298.0,691.0
148.0,361.0
300.0,646.0
18.0,134.0
296.0,690.0
208.0,427.0
157.0,369.0
285.0,610.0
194.0,408.0
145.0,352.0
150.0,332.0
161.0,376.0
117.0,302.0
391.0,813.0
369.0,814.0
74.0,194.0
197.0,397.0
71.0,179.0
69.0,232.0
204.0,475.0
234.0,568.0
46.0,168.0
40.0,168.0
181.0,431.0
121.0,296.0
183.0,440.0
142.0,323.0
239.0,544.0
375.0,818.0
128.0,338.0
294.0,668.0
265.0,573.0
268.0,611.0
190.0,393.0
347.0,753.0
338.0,753.0
355.0,754.0
323.0,706.0
176.0,383.0
51.0,157.0
291.0,671.0
212.0,438.0
116.0,260.0
158.0,360.0
245.0,511.0
378.0,834.0
311.0,722.0
96.0,225.0
48.0,104.0
168.0,387.0
272.0,585.0
377.0,805.0
88.0,238.0
316.0,710.0
119.0,317.0
28.0,150.0
94.0,198.0
187.0,410.0
213.0,484.0
380.0,823.0
350.0,709.0
327.0,665.0
231.0,563.0
