size,weight
1,13
2,39
3,67
4,72
5,2500
6,72
,25
8,39
9,67
10,29
11,-63
12,105
13,119
14,46
15,78
16,66
17,600
18,134
19,134
20,133
21,57
22,127
23,144
24,102
25,101
26,118
27,56
28,150
29,132
30,79
31,98
32,92
33,96
34,75
35,106
36,122
37,154
38,167
39,124
40,168
41,172
42,177
43,120
44,92
45,160
46,168
47,121
48,104
49,153
50,156
51,157
52,179
53,122
54,115
55,126
56,123
57,142
58,-118
59,127
60,180
61,220
62,186
63,165
64,152
65,187
66,191
67,223
68,151
69,232
70,161
71,179
72,217
73,187
74,194
75,170
76,
77,233
78,176
79,200
80,185
81,236
82,180
83,220
84,500
85,189
86,241
87,258
88,238
89,211
90,268
91,184
92,274
93,273
94,198
95,213
96,225
97,253
98,274
99,255
100,207
101,1600
102,304
103,282
104,282
105,259
106,239
107,285
108,225
109,225
110,255
111,295
112,244
113,265
114,279
115,313
116,260
117,302
118,308
119,317
120,309
121,296
122,338
123,304
124,300
125,300
126,343
127,282
128,338
129,284
130,270
131,350
132,290
133,277
134,320
135,307
136,317
137,329
938,278
139,291
140,356
141,352
142,323
,344
144,355
145,352
146,299
147,378
148,361
149,340
150,332
151,321
152,381
153,399
154,338
155,337
156,370
157,369
158,360
159,327
160,402
161,376
162,380
163,418
164,335
165,396
166,430
167,434
168,387
169,373
170,367
171,422
172,362
173,380
174,364
175,400
176,383
177,376
178,408
179,396
180,424
181,431
182,401
183,440
184,461
185,459
186,407
187,410
188,420
189,405
190,393
191,472
192,454
193,443
194,408
195,455
196,427
197,397
198,461
199,447
200,451
201,453
202,481
203,768
204,475
205,466
206,421
207,478
208,427
209,460
210,445
211,434
212,438
213,484
214,520
215,441
216,531
217,473
218,447
219,507
220,474
221,447
222,465
223,499
224,508
225,539
226,540
227,487
228,553
229,486
230,513
231,563
232,
233,560
234,568
235,535
236,542
237,568
238,525
239,544
240,567
241,507
242,542
243,538
244,557
245,511
246,503
247,538
248,521
249,502
250,579
251,537
252,585
253,584
254,600
255,558
256,611
257,587
258,579
259,555
260,522
261,543
262,597
263,534
264,611
265,573
266,596
267,557
268,611
269,562
270,547
271,637
272,585
273,581
274,595
275,566
276,593
277,576
278,642
279,579
280,637
281,586
282,647
283,656
284,571
285,610
286,629
287,657
288,622
289,632
290,646
291,671
292,669
293,629
294,668
295,637
296,690
,633
298,691
299,625
300,646
301,606
302,210
303,672
304,618
305,639
306,683
307,637
308,673
309,636
310,696
311,722
312,636
313,689
314,666
315,666
316,710
317,636
318,736
319,725
320,700
321,712
322,687
323,706
324,718
325,710
326,729
327,665
328,674
329,710
330,695
331,753
332,709
333,737
334,694
335,673
336,736
337,773
338,753
339,715
340,765
341,776
342,762
343,766
344,740
345,691
346,707
347,753
348,709
349,702
350,709
351,756
352,742
353,-350
354,748
355,754
356,720
357,790
358,811
359,815
360,780
361,796
362,791
363,783
364,747
365,
366,756
367,813
368,750
369,814
370,752
371,765
372,832
373,762
374,790
375,818
376,783
377,805
378,834
379,792
380,823
381,836
382,832
383,779
384,815
385,843
386,814
387,826
388,857
389,500
390,788
391,813
392,864
393,798
394,824
395,2200
396,867
397,829
398,860
399,821
